x,y,grad_x,grad_y,magnitude,valid
-1.607,4.699,0.000000,0.000000,0.000000,0
-1.107,4.699,0.000000,0.000000,0.000000,0
-0.607,4.699,0.000000,0.000000,0.000000,0
-0.107,4.699,-166.281843,540.841596,565.826196,1
0.393,4.699,-72.006667,325.275745,333.150522,1
0.893,4.699,106.947041,-112.882262,155.499436,1
1.393,4.699,210.039352,-319.745320,382.561889,1
1.893,4.699,-141.462673,699.969107,714.120745,1
2.393,4.699,-34.279125,51.966366,62.254008,0
2.893,4.699,-37.318591,62.712260,72.976056,0
3.393,4.699,-49.063484,69.937387,85.431046,0
3.893,4.699,-73.216197,85.925164,112.888198,0
4.393,4.699,-121.746267,116.594582,168.571795,1
4.893,4.699,-165.886822,138.940037,216.385701,1
5.393,4.699,-173.156241,141.355372,223.527236,1
5.893,4.699,-22.994242,96.360573,99.066115,1
6.393,4.699,306.325595,15.419793,306.713449,1
6.893,4.699,564.559190,-15.416227,564.769634,1
7.393,4.699,379.641472,-13.142582,379.868892,1
7.893,4.699,170.457181,-24.362382,172.189362,1
8.393,4.699,0.000000,0.000000,0.000000,0
8.893,4.699,0.000000,0.000000,0.000000,0
9.393,4.699,0.000000,0.000000,0.000000,0
9.893,4.699,0.000000,0.000000,0.000000,0
-4.607,5.199,0.000000,0.000000,0.000000,0
-4.107,5.199,0.000000,0.000000,0.000000,0
-3.607,5.199,0.000000,0.000000,0.000000,0
-3.107,5.199,0.000000,0.000000,0.000000,0
-2.607,5.199,0.000000,0.000000,0.000000,0
-2.107,5.199,0.000000,0.000000,0.000000,0
-1.607,5.199,0.000000,0.000000,0.000000,0
-1.107,5.199,0.000000,0.000000,0.000000,0
-0.607,5.199,0.000000,0.000000,0.000000,0
-0.107,5.199,0.000000,0.000000,0.000000,0
0.393,5.199,0.000000,0.000000,0.000000,0
0.893,5.199,-88.397252,365.123146,375.671380,1
1.393,5.199,-71.919172,322.110073,330.041310,1
1.893,5.199,124.205720,134.214974,182.868040,1
2.393,5.199,21.235540,-40.220189,45.481994,0
2.893,5.199,-63.306162,79.326959,101.491067,0
3.393,5.199,-85.176611,93.756789,126.670401,0
3.893,5.199,-148.991831,132.010604,199.061209,1
4.393,5.199,-165.886822,138.940037,216.385701,1
4.893,5.199,-161.402055,137.703309,212.162261,1
5.393,5.199,-22.994242,96.360573,99.066115,1
5.893,5.199,306.325595,15.419793,306.713449,1
6.393,5.199,564.559190,-15.416227,564.769634,1
6.893,5.199,474.450895,-12.729795,474.621638,1
7.393,5.199,190.372956,-22.158593,191.658200,1
7.893,5.199,45.148091,-40.256521,60.489153,1
8.393,5.199,0.000000,0.000000,0.000000,0
8.893,5.199,0.000000,0.000000,0.000000,0
9.393,5.199,0.000000,0.000000,0.000000,0
9.893,5.199,0.000000,0.000000,0.000000,0
-4.607,5.699,0.000000,0.000000,0.000000,0
-4.107,5.699,0.000000,0.000000,0.000000,0
-3.607,5.699,0.000000,0.000000,0.000000,0
-3.107,5.699,0.000000,0.000000,0.000000,0
-2.607,5.699,0.000000,0.000000,0.000000,0
-2.107,5.699,0.000000,0.000000,0.000000,0
-1.607,5.699,0.000000,0.000000,0.000000,0
-1.107,5.699,0.000000,0.000000,0.000000,0
-0.607,5.699,0.000000,0.000000,0.000000,0
-0.107,5.699,0.000000,0.000000,0.000000,0
0.393,5.699,0.000000,0.000000,0.000000,0
0.893,5.699,0.000000,0.000000,0.000000,0
1.393,5.699,0.000000,0.000000,0.000000,0
1.893,5.699,0.000000,0.000000,0.000000,0
2.393,5.699,0.000000,0.000000,0.000000,0
2.893,5.699,-103.756818,-0.717902,103.759301,1
3.393,5.699,-108.248339,61.489978,124.493856,0
3.893,5.699,-134.829782,129.594660,187.012957,1
4.393,5.699,-22.994242,96.360573,99.066115,1
4.893,5.699,223.523975,32.095395,225.816478,1
5.393,5.699,564.559190,-15.416227,564.769634,1
5.893,5.699,564.559190,-15.416227,564.769634,1
6.393,5.699,379.641472,-13.142582,379.868892,1
6.893,5.699,190.372956,-22.158593,191.658200,1
7.393,5.699,88.717782,-33.824060,94.946890,1
7.893,5.699,-63.418018,-63.895721,90.025041,1
8.393,5.699,0.000000,0.000000,0.000000,0
8.893,5.699,0.000000,0.000000,0.000000,0
9.393,5.699,0.000000,0.000000,0.000000,0
9.893,5.699,0.000000,0.000000,0.000000,0
-4.607,6.199,0.000000,0.000000,0.000000,0
-4.107,6.199,0.000000,0.000000,0.000000,0
-3.607,6.199,0.000000,0.000000,0.000000,0
-3.107,6.199,0.000000,0.000000,0.000000,0
-2.607,6.199,0.000000,0.000000,0.000000,0
-2.107,6.199,0.000000,0.000000,0.000000,0
-1.607,6.199,0.000000,0.000000,0.000000,0
-1.107,6.199,0.000000,0.000000,0.000000,0
-0.607,6.199,0.000000,0.000000,0.000000,0
-0.107,6.199,0.000000,0.000000,0.000000,0
0.393,6.199,0.000000,0.000000,0.000000,0
0.893,6.199,0.000000,0.000000,0.000000,0
1.393,6.199,0.000000,0.000000,0.000000,0
1.893,6.199,0.000000,0.000000,0.000000,0
2.393,6.199,0.000000,0.000000,0.000000,0
2.893,6.199,-132.990040,-83.066325,156.800399,1
3.393,6.199,-14.014648,-52.085479,53.937996,1
3.893,6.199,88.717782,-33.824060,94.946890,1
4.393,6.199,190.372956,-22.158593,191.658200,1
4.893,6.199,190.372956,-22.158593,191.658200,1
5.393,6.199,190.372956,-22.158593,191.658200,1
5.893,6.199,190.372956,-22.158593,191.658200,1
